species_code,n_records,percentile,last_sync
strbow1,5,4.1290,2025-04-27T17:52:55.782Z
oricus1,5,4.1381,2025-04-27T17:52:55.782Z
rubfan3,5,4.1473,2025-04-27T17:52:55.782Z
ritdro1,5,4.1564,2025-04-27T17:52:55.782Z
camspe1,5,4.1655,2025-04-27T17:52:55.782Z
blbbab1,5,4.1747,2025-04-27T17:52:55.782Z
aspsta3,5,4.1838,2025-04-27T17:52:55.782Z
rensta1,5,4.1929,2025-04-27T17:52:55.782Z
bkegrt1,5,4.2021,2025-04-27T17:52:55.782Z
consun2,5,4.2112,2025-04-27T17:52:55.782Z
jamind1,5,4.2203,2025-04-27T17:52:55.782Z
desspa4,5,4.2295,2025-04-27T17:52:55.782Z
crearg1,6,4.2386,2025-04-27T17:52:55.782Z
camfra2,6,4.2477,2025-04-27T17:52:55.782Z
samnig1,6,4.2569,2025-04-27T17:52:55.782Z
talrai1,6,4.2660,2025-04-27T17:52:55.782Z
colcra2,6,4.2751,2025-04-27T17:52:55.782Z
sakrai1,6,4.2843,2025-04-27T17:52:55.782Z
slmgos1,6,4.2934,2025-04-27T17:52:55.782Z
